#  Energy (eV) |  DOS (states/eV)
  -33.63622108    0.0000000000
  -33.59762902    0.0000000000
  -33.55903697    0.0000000000
  -33.52044492    0.0000000000
  -33.48185286    0.0000000000
  -33.44326081    0.0000000000
  -33.40466876    0.0000000000
  -33.36607671    0.0000000000
  -33.32748465    0.0000000000
  -33.28889260    0.0000000000
  -33.25030055    0.0000000000
  -33.21170849    0.0000000000
  -33.17311644    0.0000000000
  -33.13452439    0.0000000000
  -33.09593234    0.0000000000
  -33.05734028    0.0000000000
  -33.01874823    0.0000000000
  -32.98015618    0.0000000000
  -32.94156412    0.0000000000
  -32.90297207    0.0000000000
  -32.86438002    0.0000000000
  -32.82578797    0.0000000000
  -32.78719591    0.0000000000
  -32.74860386    0.0000000000
  -32.71001181    0.0000000000
  -32.67141975    0.0000000000
  -32.63282770    0.0000000000
  -32.59423565    0.0000000000
  -32.55564360    0.0000000000
  -32.51705154    0.0000000000
  -32.47845949    0.0000000000
  -32.43986744    0.0000000000
  -32.40127538    0.0000000000
  -32.36268333    0.0000000000
  -32.32409128    0.0000000000
  -32.28549923    0.0000000000
  -32.24690717    0.0000000000
  -32.20831512    0.0000000000
  -32.16972307    0.0000000000
  -32.13113101    0.0000000000
  -32.09253896    0.0000000000
  -32.05394691    0.0000000000
  -32.01535486    0.0000000000
  -31.97676280    0.0000000000
  -31.93817075    0.0000000000
  -31.89957870    0.0000000000
  -31.86098664    0.0000000000
  -31.82239459    0.0000000000
  -31.78380254    0.0000000000
  -31.74521049    0.0000000000
  -31.70661843    0.0000000000
  -31.66802638    0.0000000000
  -31.62943433    0.0000000000
  -31.59084227    0.0000000000
  -31.55225022    0.0000000000
  -31.51365817    0.0000000000
  -31.47506612    0.0000000000
  -31.43647406    0.0000000000
  -31.39788201    0.0000000000
  -31.35928996    0.0000000000
  -31.32069790    0.0000000000
  -31.28210585    0.0000000000
  -31.24351380    0.0000000000
  -31.20492175    0.0000000000
  -31.16632969    0.0000000000
  -31.12773764    0.0000000000
  -31.08914559    0.0000000000
  -31.05055353    0.0000000000
  -31.01196148    0.0000000000
  -30.97336943    0.0000000000
  -30.93477738    0.0000000000
  -30.89618532    0.0000000000
  -30.85759327    0.0000000000
  -30.81900122    0.0000000000
  -30.78040916    0.0000000000
  -30.74181711    0.0000000000
  -30.70322506    0.0000000000
  -30.66463301    0.0000000000
  -30.62604095    0.0000000000
  -30.58744890    0.0000000000
  -30.54885685    0.0000000000
  -30.51026479    0.0000000000
  -30.47167274    0.0000000000
  -30.43308069    0.0000000000
  -30.39448864    0.0000000000
  -30.35589658    0.0000000000
  -30.31730453    0.0000000000
  -30.27871248    0.0000000000
  -30.24012042    0.0000000000
  -30.20152837    0.0000000000
  -30.16293632    0.0000000000
  -30.12434427    0.0000000000
  -30.08575221    0.0000000000
  -30.04716016    0.0000000000
  -30.00856811    0.0000000000
  -29.96997605    0.0000000000
  -29.93138400    0.0000000000
  -29.89279195    0.0000000000
  -29.85419990    0.0000000000
  -29.81560784    0.0000000000
  -29.77701579    0.0000000000
  -29.73842374    0.0000000000
  -29.69983168    0.0000000000
  -29.66123963    0.0000000000
  -29.62264758    0.0000000000
  -29.58405553    0.0000000000
  -29.54546347    0.0000000000
  -29.50687142    0.0000000000
  -29.46827937    0.0000000000
  -29.42968731    0.0000000000
  -29.39109526    0.0000000000
  -29.35250321    0.0000000000
  -29.31391115    0.0000000000
  -29.27531910    0.0000000000
  -29.23672705    0.0000000000
  -29.19813500    0.0000000000
  -29.15954294    0.0000000000
  -29.12095089    0.0000000000
  -29.08235884    0.0000000000
  -29.04376678    0.0000000000
  -29.00517473    0.0000000000
  -28.96658268    0.0000000000
  -28.92799063    0.0000000000
  -28.88939857    0.0000000000
  -28.85080652    0.0000000000
  -28.81221447    0.0000000000
  -28.77362241    0.0000000000
  -28.73503036    0.0000000000
  -28.69643831    0.0000000000
  -28.65784626    0.0000000000
  -28.61925420    0.0000000000
  -28.58066215    0.0000000000
  -28.54207010    0.0000000000
  -28.50347804    0.0000000000
  -28.46488599    0.0000000000
  -28.42629394    0.0000000000
  -28.38770189    0.0000000000
  -28.34910983    0.0000000000
  -28.31051778    0.0000000000
  -28.27192573    0.0000000000
  -28.23333367    0.0000000000
  -28.19474162    0.0000000000
  -28.15614957    0.0000000000
  -28.11755752    0.0000000000
  -28.07896546    0.0000000000
  -28.04037341    0.0000000000
  -28.00178136    0.0000000000
  -27.96318930    0.0000000000
  -27.92459725    0.0000000000
  -27.88600520    0.0000000000
  -27.84741315    0.0000000000
  -27.80882109    0.0000000000
  -27.77022904    0.0000000000
  -27.73163699    0.0000000000
  -27.69304493    0.0000000000
  -27.65445288    0.0000000000
  -27.61586083    0.0000000000
  -27.57726878    0.0000000000
  -27.53867672    0.0000000000
  -27.50008467    0.0000000000
  -27.46149262    0.0000000000
  -27.42290056    0.0000000000
  -27.38430851    0.0000000000
  -27.34571646    0.0000000000
  -27.30712441    0.0000000000
  -27.26853235    0.0000000000
  -27.22994030    0.0000000000
  -27.19134825    0.0000000000
  -27.15275619    0.0000000000
  -27.11416414    0.0000000000
  -27.07557209    0.0000000000
  -27.03698004    0.0000000000
  -26.99838798    0.0000000000
  -26.95979593    0.0000000000
  -26.92120388    0.0000000000
  -26.88261182    0.0000000000
  -26.84401977    0.0000000000
  -26.80542772    0.0000000000
  -26.76683567    0.0000000000
  -26.72824361    0.0000000000
  -26.68965156    0.0000000000
  -26.65105951    0.0000000000
  -26.61246745    0.0000000000
  -26.57387540    0.0000000000
  -26.53528335    0.0000000000
  -26.49669130    0.0000000000
  -26.45809924    0.0000000000
  -26.41950719    0.0000000000
  -26.38091514    0.0000000000
  -26.34232308    0.0000000000
  -26.30373103    0.0000000000
  -26.26513898    0.0000000000
  -26.22654693    0.0000000000
  -26.18795487    0.0000000000
  -26.14936282    0.0000000000
  -26.11077077    0.0000000000
  -26.07217871    0.0000000000
  -26.03358666    0.0000000000
  -25.99499461    0.0000000000
  -25.95640256    0.0000000000
  -25.91781050    0.0000000000
  -25.87921845    0.0000000000
  -25.84062640    0.0000000000
  -25.80203434    0.0000000000
  -25.76344229    0.0000000000
  -25.72485024    0.0000000000
  -25.68625819    0.0000000000
  -25.64766613    0.0000000000
  -25.60907408    0.0000000000
  -25.57048203    0.0000000000
  -25.53188997    0.0000000000
  -25.49329792    0.0000000000
  -25.45470587    0.0000000000
  -25.41611382    0.0000000000
  -25.37752176    0.0000000000
  -25.33892971    0.0000000000
  -25.30033766    0.0000000000
  -25.26174560    0.0000000000
  -25.22315355    0.0000000000
  -25.18456150    0.0000000000
  -25.14596945    0.0000000000
  -25.10737739    0.0000000000
  -25.06878534    0.0000000000
  -25.03019329    0.0000000000
  -24.99160123    0.0000000000
  -24.95300918    0.0000000000
  -24.91441713    0.0000000000
  -24.87582508    0.0000000000
  -24.83723302    0.0000000000
  -24.79864097    0.0000000000
  -24.76004892    0.0000000000
  -24.72145686    0.0000000000
  -24.68286481    0.0000000000
  -24.64427276    0.0000000000
  -24.60568071    0.0000000000
  -24.56708865    0.0000000000
  -24.52849660    0.0000000000
  -24.48990455    0.0000000000
  -24.45131249    0.0000000000
  -24.41272044    0.0000000000
  -24.37412839    0.0000000000
  -24.33553634    0.0000000000
  -24.29694428    0.0000000000
  -24.25835223    0.0000000000
  -24.21976018    0.0000000000
  -24.18116812    0.0000000000
  -24.14257607    0.0000000000
  -24.10398402    0.0000000000
  -24.06539197    0.0000000000
  -24.02679991    0.0000000000
  -23.98820786    0.0000000000
  -23.94961581    0.0000000000
  -23.91102375    0.0000000000
  -23.87243170    0.0000000000
  -23.83383965    0.0000000000
  -23.79524759    0.0000000000
  -23.75665554    0.0000000000
  -23.71806349    0.0000000000
  -23.67947144    0.0000000000
  -23.64087938    0.0000000000
